Occupation,S.NO,Name,Nationality,Current Rank,Previous Year Rank,Category,New Category,Year,earnings,earnings_avg_1,earnings_avg_2,,,,,,,
Athletes,145,Michael Vick,USA,4,>10,American Football,American Football,2005,37.5,31.67,30.25,,,Actors,Actors/Actresses,,A.J. Green,American Football
Athletes,146,Shaquille O'Neal,USA,5,5,basketball,Basketball,2005,33.4,31.67,30.47,,,Actresses,Actors/Actresses,,Aaron Donald,American Football
Athletes,147,Michael Jordan,USA,6,4,basketball,Basketball,2005,33,31.67,30.47,,,American Football,American Football,,Aaron Rodgers,American Football
Athletes,149,Kobe Bryant,USA,8,10,basketball,Basketball,2005,28.8,31.67,30.47,,,American Football / Baseball,Baseball,,Alex Rodriguez,Baseball
Athletes,144,Oscar De La Hoya,USA,3,>10,boxing,Boxing/MMA,2005,38,31.67,38,,,Athletes,Athletes,,Alex Smith,American Football
Athletes,150,Lance Armstrong,USA,9,>10,cycling,Cycling,2005,28,31.67,28,,,Authors,Authors,,Ana Ivanovic,Tennis
Athletes,143,Michael Schumacher,Germany,2,2,F1 racing,Motorsports,2005,60,31.67,42.85,,,auto racing,Motorsports,,Andre Agassi,Tennis
Athletes,142,Tiger Woods,USA,1,1,golf,Golf,2005,87,31.67,52.03,,,Auto Racing (Nascar),Motorsports,,Andrew Luck,American Football
Athletes,151,Valentino Rossi,Italy,9,>10,motorcycle gp,Motorsports,2005,28,31.67,42.85,,,Baseball,Baseball,,Annika Sorenstam,Golf
Athletes,148,David Beckham,UK,7,8,soccer,Soccer,2005,32.5,31.67,29,,,basketball,Basketball,,Anthony Joshua,Boxing/MMA
Athletes,161,Tom Brady,USA,9,>10,American Football,American Football,2006,29,35.23,28.67,,,boxing,Boxing/MMA,,Ben Roethlisberger,American Football
Athletes,160,Alex Rodriguez,USA,9,>10,baseball,Baseball,2006,29,35.23,28.33,,,Comedians,Comedians,,Blake Griffin,Basketball
Athletes,156,Michael Jordan,USA,5,6,basketball,Basketball,2006,32,35.23,30.29,,,cycling,Cycling,,Brandin Cooks,American Football
Athletes,157,Kobe Bryant,USA,6,8,basketball,Basketball,2006,31,35.23,30.29,,,Directors/Producers,Directors/Producers,,Bryce Harper,Baseball
Athletes,158,Shaquille O'Neal,USA,7,5,basketball,Basketball,2006,30,35.23,30.29,,,F1 Motorsports,Motorsports,,Cam Newton,American Football
Athletes,154,Muhammad Ali,USA,3,>10,boxing,Boxing/MMA,2006,55,35.23,55,,,F1 racing,Motorsports,,Canelo Alvarez,Boxing/MMA
Athletes,153,Michael Schumacher,Germany,2,2,F1 racing,Motorsports,2006,58,35.23,48.67,,,golf,Golf,,Carmelo Anthony,Basketball
Athletes,152,Tiger Woods,USA,1,1,golf,Golf,2006,90,35.23,49.83,,,Hip-hop impresario,Musicians,,Carson Palmer,American Football
Athletes,155,Phil Mickelson,USA,4,>10,golf,Golf,2006,47,35.23,49.83,,,Hockey,Hockey,,Chris Paul,Basketball
Athletes,159,Valentino Rossi,Italy,8,9,motorcycle gp,Motorsports,2006,30,35.23,48.67,,,Ice Hockey,Hockey,,Clayton Kershaw,Baseball
Athletes,168,Kobe Bryant,USA,6,>10,basketball,Basketball,2007,33,35.2,31.29,,,Magicians,Magicians,,Conor McGregor,Boxing/MMA
Athletes,169,Shaquille O'Neal,USA,8,7,basketball,Basketball,2007,32,35.2,31.29,,,MMA,Boxing/MMA,,Cristiano Ronaldo,Soccer
Athletes,171,Michael Jordan,USA,9,5,basketball,Basketball,2007,31,35.2,31.29,,,Models,Models,,Dale Earnhardt Jr.,Motorsports
Athletes,163,Oscar De La Hoya,USA,2,>10,boxing,Boxing/MMA,2007,43,35.2,43,,,motorcycle gp,Motorsports,,Damian Lillard,Basketball
Athletes,165,Kimi Raikkonen,Finland,4,>10,F1 racing,Motorsports,2007,40,35.2,31.4,,,Musicians,Musicians,,Danica Patrick,Motorsports
Athletes,166,Michael Schumacher,Germany,5,2,F1 racing,Motorsports,2007,36,35.2,31.4,,,NASCAR,Motorsports,,David Beckham,Soccer
Athletes,162,Tiger Woods,USA,1,1,golf,Golf,2007,100,35.2,52.17,,,NBA,Basketball,,DeMarcus Lawrence,American Football
Athletes,164,Phil Mickelson,USA,3,4,golf,Golf,2007,42,35.2,52.17,,,NFL,American Football,,Derek Carr,American Football
Athletes,167,David Beckham,UK,6,>10,soccer,Soccer,2007,33,35.2,31.6,,,Personalities,Personalities,,Derek Jeter,Baseball
Athletes,170,Ronaldinho,Brazil,9,>10,soccer,Soccer,2007,31,35.2,31.6,,,soccer,Soccer,,Derrick Rose,Basketball
Athletes,174,Michael Jordan,USA,3,9,basketball,Basketball,2008,45,39.85,38.13,,,Television actors,Actors/Actresses,,Drew Brees,American Football
Athletes,177,Kobe Bryant,USA,6,7,basketball,Basketball,2008,39,39.85,38.13,,,Television actresses,Actors/Actresses,,Dwight Howard,Basketball
Athletes,178,LeBron James,USA,7,>10,basketball,Basketball,2008,38,39.85,38.13,,,Tennis,Tennis,,Dwyane Wade,Basketball
Athletes,176,Kimi Raikkonen,Finland,5,4,F1 racing,Motorsports,2008,44,39.85,37.2,,,,,,Eli Manning,American Football
Athletes,172,Tiger Woods,USA,1,1,golf,Golf,2008,115,39.85,56.83,,,,,,Fernando Alonso,Soccer
Athletes,175,Phil Mickelson,USA,3,3,golf,Golf,2008,45,39.85,56.83,,,,,,Fletcher Cox,American Football
Athletes,180,Valentino Rossi,Italy,9,>10,motorcycle gp,Motorsports,2008,35,39.85,37.2,,,,,,Floyd Mayweather,Boxing/MMA
Athletes,173,David Beckham,UK,2,6,soccer,Soccer,2008,50,39.85,41.4,,,,,,Gareth Bale,Soccer
Athletes,179,Ronaldinho,Brazil,8,9,soccer,Soccer,2008,37,39.85,41.4,,,,,,Giannis Antetokounmpo,Basketball
Athletes,181,Roger Federer,Switzerland,9,>10,tennis,Tennis,2008,35,39.85,24.5,,,,,,James Harden,Basketball
Athletes,183,Kobe Bryant,USA,2,6,basketball,Basketball,2009,45,39.54,41.43,,,,,,James Rodriguez,Soccer
Athletes,184,Michael Jordan,USA,2,3,basketball,Basketball,2009,45,39.54,41.43,,,,,,Jeff Gordon,Motorsports
Athletes,187,LeBron James,USA,6,7,basketball,Basketball,2009,40,39.54,41.43,,,,,,Jimmy Garoppolo,American Football
Athletes,189,Manny Pacquiao,Philippines,6,>10,boxing,Boxing/MMA,2009,40,39.54,40,,,,,,Joe Flacco,American Football
Athletes,185,Kimi Raikkonen,Finland,2,5,F1 racing,Motorsports,2009,45,39.54,32.67,,,,,,Jon Lester,Baseball
Athletes,182,Tiger Woods,USA,1,1,golf,Golf,2009,110,39.54,75,,,,,,Jordan Spieth,Golf
Athletes,188,Phil Mickelson,USA,6,3,golf,Golf,2009,40,39.54,75,,,,,,Justine Henin,Tennis
Athletes,190,Valentino Rossi,Italy,9,9,motorcycle gp,Motorsports,2009,35,39.54,32.67,,,,,,Kei Nishikori,Tennis
Athletes,191,Dale Earnhardt Jr.,USA,10,>10,NASCAR,Motorsports,2009,34,39.54,32.67,,,,,,Kevin Durant,Basketball
Athletes,186,David Beckham,UK,5,2,soccer,Soccer,2009,42,39.54,38,,,,,,Kevin Garnett,Basketball
Athletes,200,Eli Manning,USA,9,>10,American Football,American Football,2010,39.9,43.94,39.1,,,,,,Khalil Mack,American Football
Athletes,201,Terrell Suggs,USA,10,>10,American Football,American Football,2010,38.3,43.94,39.1,,,,,,Kimi Raikkonen,Motorsports
Athletes,194,Kobe Bryant,USA,3,2,basketball,Basketball,2010,48,43.94,44.63,,,,,,Kobe Bryant,Basketball
Athletes,198,LeBron James,USA,7,6,basketball,Basketball,2010,42.8,43.94,44.63,,,,,,Kyrie Irving,Basketball
Athletes,193,Floyd Mayweather,USA,2,>10,boxing,Boxing/MMA,2010,65,43.94,53.5,,,,,,Lance Armstrong,Cycling
Athletes,199,Manny Pacquiao,Philippines,8,6,boxing,Boxing/MMA,2010,42,43.94,53.5,,,,,,LeBron James,Basketball
Athletes,192,Tiger Woods,USA,1,1,golf,Golf,2010,105,43.94,75.5,,,,,,Lewis Hamilton,Motorsports
Athletes,195,Phil Mickelson,USA,4,6,golf,Golf,2010,46,43.94,75.5,,,,,,Li Na,Tennis
Athletes,196,David Beckham,UK,5,5,soccer,Soccer,2010,43.7,43.94,41.23,,,,,,Lindsay Davenport,Tennis
Athletes,197,Roger Federer,Switzerland,6,>10,tennis,Tennis,2010,43,43.94,29.3,,,,,,Lionel Messi,Soccer
Athletes,209,Alex Rodriguez,Dominican,8,12,baseball,Baseball,2011,35,37.79,33,,,,,,Lorena Ochoa,Golf
Athletes,203,Kobe Bryant,USA,2,3,basketball,Basketball,2011,53,37.79,42.67,,,,,,Mahendra Singh Dhoni,Cricketer
Athletes,204,LeBron James,USA,3,7,basketball,Basketball,2011,48,37.79,42.67,,,,,,Manny Pacquiao,Boxing/MMA
Athletes,210,Michael Schumacher,Germany,9,>20,F1 racing,Motorsports,2011,34,37.79,23,,,,,,Manny Ramirez,Baseball
Athletes,202,Tiger Woods,USA,1,1,golf,Golf,2011,75,37.79,60.88,,,,,,Marcell Dareus,American Football
Athletes,206,Phil Mickelson,USA,5,4,golf,Golf,2011,46.5,37.79,60.88,,,,,,Maria Sharapova,Tennis
Athletes,207,David Beckham,UK,6,5,soccer,Soccer,2011,40,37.79,36.72,,,,,,Matt Hasselbeck,American Football
Athletes,208,Cristiano Ronaldo,Portugal,7,13,soccer,Soccer,2011,38,37.79,36.72,,,,,,Matt Ryan,American Football
Athletes,211,Lionel Messi,Argentina,10,>20,soccer,Soccer,2011,32.3,37.79,36.72,,,,,,Matthew Stafford,American Football
Athletes,205,Roger Federer,Switzerland,4,6,tennis,Tennis,2011,47,37.79,29,,,,,,Michael Jordan,Basketball
Athletes,221,Peyton Manning,USA,10,7,American Football,American Football,2012,42.4,45.6,37.13,,,,,,Michael Schumacher,Motorsports
Athletes,215,LeBron James,USA,4,3,Basketball,Basketball,2012,53,45.6,52.08,,,,,,Michael Vick,American Football
Athletes,217,Kobe Bryant,USA,6,2,Basketball,Basketball,2012,52.3,45.6,52.08,,,,,,Michelle Wie,Golf
Athletes,212,Floyd Mayweather,USA,1,?,Boxing,Boxing/MMA,2012,85,45.6,63.5,,,,,,Mike Trout,Baseball
Athletes,213,Manny Pacquiao,Filipino,2,24,Boxing,Boxing/MMA,2012,62,45.6,63.5,,,,,,Muhammad Ali,Boxing/MMA
Athletes,214,Tiger Woods,USA,3,1,Golf,Golf,2012,59.4,45.6,53.3,,,,,,Ndamukong Suh,American Football
Athletes,218,Phil Mickelson,USA,7,5,Golf,Golf,2012,47.8,45.6,53.3,,,,,,Neymar,Soccer
Athletes,219,David Beckham,UK,8,6,Soccer,Soccer,2012,46,45.6,43.1,,,,,,Novak Djokovic,Tennis
Athletes,220,Cristiano Ronaldo,Portugal,9,21,Soccer,Soccer,2012,42.5,45.6,43.1,,,,,,Oscar De La Hoya,Boxing/MMA
Athletes,216,Roger Federer,Switzerland,5,4,Tennis,Tennis,2012,52.7,45.6,32.45,,,,,,Paul George,Basketball
Athletes,226,Drew Brees,USA,5,?,American Football,American Football,2013,51,47.24,47.25,,,,,,Peyton Manning,American Football
Athletes,227,Aaron Rodgers,USA,6,?,American Football,American Football,2013,49,47.24,47.25,,,,,,Phil Mickelson,Golf
Athletes,224,Kobe Bryant,USA,3,6,Basketball,Basketball,2013,61.9,47.24,60.93,,,,,,Philip Rivers,American Football
Athletes,225,LeBron James,USA,4,4,Basketball,Basketball,2013,59.8,47.24,60.93,,,,,,Rafael Nadal,Tennis
Athletes,222,Tiger Woods,USA,1,3,Golf,Golf,2013,78.1,47.24,63.45,,,,,,Roger Federer,Tennis
Athletes,228,Phil Mickelson,USA,7,7,Golf,Golf,2013,48.7,47.24,63.45,,,,,,Ronaldinho,Soccer
Athletes,229,David Beckham,UK,8,8,Soccer,Soccer,2013,47.2,47.24,44.08,,,,,,Ronaldo,Soccer
Athletes,230,Cristiano Ronaldo,Portugal,9,9,Soccer,Soccer,2013,44,47.24,44.08,,,,,,Rory McIlroy,Tennis
Athletes,231,Lionel Messi,Argentina,10,11,Soccer,Soccer,2013,41.3,47.24,44.08,,,,,,Russell Westbrook,Basketball
Athletes,223,Roger Federer,Switzerland,2,5,Tennis,Tennis,2013,71.5,47.24,43.5,,,,,,Russell Wilson,American Football
Athletes,241,Matt Ryan,USA,10,>100,American Football,American Football,2014,43.8,55.13,35.4,,,,,,Ryan Tannehill,American Football
Athletes,234,LeBron James,USA,3,4,Basketball,Basketball,2014,72.3,55.13,54.97,,,,,,Sebastian Vettel,Motorsports
Athletes,236,Kobe Bryant,USA,5,3,Basketball,Basketball,2014,61.5,55.13,54.97,,,,,,Serena Williams,Tennis
Athletes,232,Floyd Mayweather,USA,1,14,Boxing,Boxing/MMA,2014,105,55.13,105,,,,,,Shaquille O'Neal,Basketball
Athletes,237,Tiger Woods,USA,6,1,Golf,Golf,2014,61.2,55.13,57.35,,,,,,Stephen Curry,Basketball
Athletes,239,Phil Mickelson,USA,8,7,Golf,Golf,2014,53.2,55.13,57.35,,,,,,Tiger Woods,Golf
Athletes,233,Cristiano Ronaldo,Portugal,2,9,Soccer,Soccer,2014,80,55.13,72.43,,,,,,Tom Brady,American Football
Athletes,235,Lionel Messi,Argentina,4,10,Soccer,Soccer,2014,64.7,55.13,72.43,,,,,,Trumaine Johnson,American Football
Athletes,238,Roger Federer,Switzerland,7,2,Tennis,Tennis,2014,56.2,55.13,37.96,,,,,,Usain Bolt,Track & Field
Athletes,240,Rafael Nadal,Spain,9,>14,Tennis,Tennis,2014,44.5,55.13,37.96,,,,,,Valentino Rossi,Soccer
Athletes,247,LeBron James,USA,6,3,Basketball,Basketball,2015,64.8,64.96,50.19,,,,,,Venus Williams,Tennis
Athletes,248,Kevin Durant,USA,7,20,Basketball,Basketball,2015,54.2,64.96,50.19,,,,,,Von Miller,American Football
Athletes,251,Kobe Bryant,USA,10,5,Basketball,Basketball,2015,49.5,64.96,50.19,,,,,,Walter Jones,American Football
Athletes,242,Floyd Mayweather,USA,1,1,Boxing,Boxing/MMA,2015,300,64.96,230,,,,,,Zlatan Ibrahimovic,Soccer
Athletes,243,Manny Pacquiao,Philippines,2,11,Boxing,Boxing/MMA,2015,160,64.96,230,,,,,,,
Athletes,249,Phil Mickelson,USA,8,8,Golf,Golf,2015,50.8,64.96,50.73,,,,,,,
Athletes,250,Tiger Woods,USA,9,6,Golf,Golf,2015,50.6,64.96,50.73,,,,,,,
Athletes,244,Cristiano Ronaldo,Portugal,3,2,Soccer,Soccer,2015,79.6,64.96,51.54,,,,,,,
Athletes,245,Lionel Messi,Argentina,4,4,Soccer,Soccer,2015,73.8,64.96,51.54,,,,,,,
Athletes,246,Roger Federer,Switzerland,5,7,Tennis,Tennis,2015,67,64.96,48.75,,,,,,,
Athletes,258,Cam Newton,USA,7,>20,American Football,American Football,2016,53.1,48.37,41.9,,,,,,,
Athletes,254,LeBron James,USA,3,6,Basketball,Basketball,2016,77.2,48.37,49.64,,,,,,,
Athletes,256,Kevin Durant,USA,5,7,Basketball,Basketball,2016,56.2,48.37,49.64,,,,,,,
Athletes,261,Kobe Bryant,USA,10,10,Basketball,Basketball,2016,50,48.37,49.64,,,,,,,
Athletes,259,Phil Mickelson,USA,8,8,Golf,Golf,2016,52.9,48.37,50.45,,,,,,,
Athletes,260,Jordan Spieth,USA,9,>20,Golf,Golf,2016,52.8,48.37,50.45,,,,,,,
Athletes,252,Cristiano Ronaldo,Portugal,1,3,Soccer,Soccer,2016,88,48.37,60.8,,,,,,,
Athletes,253,Lionel Messi,Argentina,2,4,Soccer,Soccer,2016,81.4,48.37,60.8,,,,,,,
Athletes,255,Roger Federer,Switzerland,4,5,Tennis,Tennis,2016,67.8,48.37,50.45,,,,,,,
Athletes,257,Novak Djokovic,Serbia,6,13,Tennis,Tennis,2016,55.8,48.37,50.45,,,,,,,
Athletes,267,Andrew Luck,USA,6,,American Football,American Football,2017,50,49.15,44.68,,,,,,,
Athletes,271,Lewis Hamilton,UK,10,,auto racing,Motorsports,2017,46,49.15,43.5,,,,,,,
Athletes,263,LeBron James,USA,2,3,Basketball,Basketball,2017,86.2,49.15,50.87,,,,,,,
Athletes,266,Kevin Durant,USA,5,5,Basketball,Basketball,2017,60.6,49.15,50.87,,,,,,,
Athletes,269,Stephen Curry,USA,8,,Basketball,Basketball,2017,47.3,49.15,50.87,,,,,,,
Athletes,270,James Harden,USA,9,,Basketball,Basketball,2017,46.6,49.15,50.87,,,,,,,
Athletes,268,Rory McIlroy,Northern Ireland,6,17,Golf,Golf,2017,50,49.15,41.72,,,,,,,
Athletes,262,Cristiano Ronaldo,Portugal,1,1,Soccer,Soccer,2017,93,49.15,60.63,,,,,,,
Athletes,264,Lionel Messi,Argentina,3,2,Soccer,Soccer,2017,80,49.15,60.63,,,,,,,
Athletes,265,Roger Federer,Switzerland,4,4,Tennis,Tennis,2017,64,49.15,49.9,,,,,,,
Athletes,280,Matt Ryan,USA,9,>100,American Football,American Football,2018,67.3,70.18,47.59,,,,,,,
Athletes,281,Matthew Stafford,USA,10,>100,American Football,American Football,2018,59.5,70.18,47.59,,,,,,,
Athletes,277,LeBron James,USA,6,2,Basketball,Basketball,2018,85.5,70.18,54.82,,,,,,,
Athletes,279,Stephen Curry,USA,8,8,Basketball,Basketball,2018,76.9,70.18,54.82,,,,,,,
Athletes,272,Floyd Mayweather,USA,1,>100,Boxing,Boxing/MMA,2018,285,70.18,141.92,,,,,,,
Athletes,275,Conor McGregor,Ireland,4,24,MMA,Boxing/MMA,2018,99,70.18,141.92,,,,,,,
Athletes,273,Lionel Messi,Argentina,2,3,Soccer,Soccer,2018,111,70.18,103,,,,,,,
Athletes,274,Cristiano Ronaldo,Portugal,3,1,Soccer,Soccer,2018,108,70.18,103,,,,,,,
Athletes,276,Neymar,Brazil,5,18,Soccer,Soccer,2018,90,70.18,103,,,,,,,
Athletes,278,Roger Federer,Switzerland,7,4,Tennis,Tennis,2018,77.2,70.18,58.38,,,,,,,
Athletes,287,Russell Wilson,USA,6,??,American Football,American Football,2019,89.5,67.01,62.89,,,,,,,
Athletes,288,Aaron Rogers,USA,7,??,American Football,American Football,2019,89.3,67.01,62.89,,,,,,,
Athletes,289,LeBron James,USA,8,6,Basketball,Basketball,2019,89,67.01,58.17,,,,,,,
Athletes,290,Stephen Curry,USA,9,8,Basketball,Basketball,2019,79.8,67.01,58.17,,,,,,,
Athletes,291,Kevin Durant,USA,10,11,Basketball,Basketball,2019,65.4,67.01,58.17,,,,,,,
Athletes,285,Canelo Alvarez,Mexico,4,15,Boxing,Boxing/MMA,2019,94,67.01,72.5,,,,,,,
Athletes,282,Lionel Messi,Argentina,1,2,Soccer,Soccer,2019,127,67.01,113.67,,,,,,,
Athletes,283,Cristiano Ronaldo,Portugal,2,3,Soccer,Soccer,2019,109,67.01,113.67,,,,,,,
Athletes,284,Neymar,Brazil,3,5,Soccer,Soccer,2019,105,67.01,113.67,,,,,,,
Athletes,286,Roger Federer,Switzerland,5,7,Tennis,Tennis,2019,93.4,67.01,65.4,,,,,,,
Celebrities,294,Mel Gibson,n/a,n/a,n/a,Actors,Actors/Actresses,2005,185,32.61,24.84,,,,,,,
Celebrities,298,Johnny Depp,n/a,n/a,n/a,Actors,Actors/Actresses,2005,37,32.61,24.84,,,,,,,
Celebrities,301,Tom Cruise,n/a,n/a,n/a,Actors,Actors/Actresses,2005,31,32.61,24.84,,,,,,,
Celebrities,302,Brad Pitt,n/a,n/a,n/a,Actors,Actors/Actresses,2005,25,32.61,24.84,,,,,,,
Celebrities,304,Will Smith,n/a,n/a,n/a,Actors,Actors/Actresses,2005,35,32.61,24.84,,,,,,,
Celebrities,322,Denzel Washington,n/a,n/a,n/a,Actors,Actors/Actresses,2005,30,32.61,24.84,,,,,,,
Celebrities,333,Tobey Maguire,n/a,n/a,n/a,Actors,Actors/Actresses,2005,32,32.61,24.84,,,,,,,
Celebrities,340,Matt Damon,n/a,n/a,n/a,Actors,Actors/Actresses,2005,27,32.61,24.84,,,,,,,
Celebrities,341,Adam Sandler,n/a,n/a,n/a,Actors,Actors/Actresses,2005,28,32.61,24.84,,,,,,,
Celebrities,328,Jennifer Aniston,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,18.5,32.61,24.84,,,,,,,
Celebrities,330,Julia Roberts,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,8,32.61,24.84,,,,,,,
Celebrities,336,Nicole Kidman,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,14.5,32.61,24.84,,,,,,,
Celebrities,345,Hilary Duff,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,15,32.61,24.84,,,,,,,
Celebrities,349,Drew Barrymore,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,22,32.61,24.84,,,,,,,
Celebrities,356,Sandra Bullock,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,10.5,32.61,24.84,,,,,,,
Celebrities,357,Cameron Diaz,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,13,32.61,24.84,,,,,,,
Celebrities,366,Naomi Watts,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,11.5,32.61,24.84,,,,,,,
Celebrities,390,Amanda Bynes,n/a,n/a,n/a,Actresses,Actors/Actresses,2005,1.5,32.61,24.84,,,,,,,
Celebrities,303,Dan Brown,n/a,n/a,n/a,Authors,Authors,2005,76.5,32.61,40.12,,,,,,,
Celebrities,313,J.K. Rowling,n/a,n/a,n/a,Authors,Authors,2005,59.1,32.61,40.12,,,,,,,
Celebrities,359,James Patterson,n/a,n/a,n/a,Authors,Authors,2005,27,32.61,40.12,,,,,,,
Celebrities,362,Nora Roberts,n/a,n/a,n/a,Authors,Authors,2005,28.8,32.61,40.12,,,,,,,
Celebrities,374,Jack Welch,n/a,n/a,n/a,Authors,Authors,2005,9.2,32.61,40.12,,,,,,,
Celebrities,309,Will Ferrell,n/a,n/a,n/a,Comedians,Comedians,2005,40,32.61,29.63,,,,,,,
Celebrities,312,Jay Leno,n/a,n/a,n/a,Comedians,Comedians,2005,30,32.61,29.63,,,,,,,
Celebrities,335,Ray Romano,n/a,n/a,n/a,Comedians,Comedians,2005,36.5,32.61,29.63,,,,,,,
Celebrities,369,Dave Chappelle,n/a,n/a,n/a,Comedians,Comedians,2005,12,32.61,29.63,,,,,,,
Celebrities,295,George Lucas,n/a,n/a,n/a,Directors/Producers,Directors/Producers,2005,290,32.61,120.75,,,,,,,
Celebrities,297,Steven Spielberg,n/a,n/a,n/a,Directors/Producers,Directors/Producers,2005,80,32.61,120.75,,,,,,,
Celebrities,321,Peter Jackson,n/a,n/a,n/a,Directors/Producers,Directors/Producers,2005,47,32.61,120.75,,,,,,,
Celebrities,327,Jerry Bruckheimer,n/a,n/a,n/a,Directors/Producers,Directors/Producers,2005,66,32.61,120.75,,,,,,,
Celebrities,332,David Copperfield,n/a,n/a,n/a,Magicians,Magicians,2005,57,32.61,29.5,,,,,,,
Celebrities,389,David Blaine,n/a,n/a,n/a,Magicians,Magicians,2005,2,32.61,29.5,,,,,,,
Celebrities,368,Gisele Bündchen,n/a,n/a,n/a,Models,Models,2005,15.2,32.61,8.05,,,,,,,
Celebrities,381,Heidi Klum,n/a,n/a,n/a,Models,Models,2005,7.5,32.61,8.05,,,,,,,
Celebrities,384,Kate Moss,n/a,n/a,n/a,Models,Models,2005,5,32.61,8.05,,,,,,,
Celebrities,388,Adriana Lima,n/a,n/a,n/a,Models,Models,2005,4.5,32.61,8.05,,,,,,,
Celebrities,299,Madonna,n/a,n/a,n/a,Musicians,Musicians,2005,50,32.61,34.17,,,,,,,
Celebrities,300,Elton John,n/a,n/a,n/a,Musicians,Musicians,2005,44,32.61,34.17,,,,,,,
Celebrities,311,Sean (Diddy) Combs,n/a,n/a,n/a,Musicians,Musicians,2005,36,32.61,34.17,,,,,,,
Celebrities,314,Metallica,n/a,n/a,n/a,Musicians,Musicians,2005,37.4,32.61,34.17,,,,,,,
Celebrities,315,Jennifer Lopez,n/a,n/a,n/a,Musicians,Musicians,2005,17,32.61,34.17,,,,,,,
Celebrities,320,Shania Twain,n/a,n/a,n/a,Musicians,Musicians,2005,34,32.61,34.17,,,,,,,
Celebrities,323,Rod Stewart,n/a,n/a,n/a,Musicians,Musicians,2005,31,32.61,34.17,,,,,,,
Celebrities,325,Bette Midler,n/a,n/a,n/a,Musicians,Musicians,2005,31,32.61,34.17,,,,,,,
Celebrities,331,Prince,n/a,n/a,n/a,Musicians,Musicians,2005,49.7,32.61,34.17,,,,,,,
Celebrities,334,The Eagles,n/a,n/a,n/a,Musicians,Musicians,2005,45,32.61,34.17,,,,,,,
Celebrities,352,Van Halen,n/a,n/a,n/a,Musicians,Musicians,2005,29.6,32.61,34.17,,,,,,,
Celebrities,367,Ashlee Simpson,n/a,n/a,n/a,Musicians,Musicians,2005,5.3,32.61,34.17,,,,,,,
Celebrities,292,Oprah Winfrey,n/a,n/a,n/a,Personalities,Personalities,2005,225,32.61,27.44,,,,,,,
Celebrities,305,David Letterman,n/a,n/a,n/a,Personalities,Personalities,2005,40,32.61,27.44,,,,,,,
Celebrities,318,Howard Stern,n/a,n/a,n/a,Personalities,Personalities,2005,31,32.61,27.44,,,,,,,
Celebrities,319,Rush Limbaugh,n/a,n/a,n/a,Personalities,Personalities,2005,30,32.61,27.44,,,,,,,
Celebrities,346,Paris Hilton,n/a,n/a,n/a,Personalities,Personalities,2005,6.5,32.61,27.44,,,,,,,
Celebrities,347,Bill Clinton,n/a,n/a,n/a,Personalities,Personalities,2005,6,32.61,27.44,,,,,,,
Celebrities,358,Regis Philbin,n/a,n/a,n/a,Personalities,Personalities,2005,20,32.61,27.44,,,,,,,
Celebrities,360,Paul Harvey,n/a,n/a,n/a,Personalities,Personalities,2005,30,32.61,27.44,,,,,,,
Celebrities,364,Judge Judy Sheindlin,n/a,n/a,n/a,Personalities,Personalities,2005,28,32.61,27.44,,,,,,,
Celebrities,365,Ellen DeGeneres,n/a,n/a,n/a,Personalities,Personalities,2005,15,32.61,27.44,,,,,,,
Celebrities,370,John Madden,n/a,n/a,n/a,Personalities,Personalities,2005,17,32.61,27.44,,,,,,,
Celebrities,371,Rudy Giuliani,n/a,n/a,n/a,Personalities,Personalities,2005,5,32.61,27.44,,,,,,,
Celebrities,376,Emeril Lagasse,n/a,n/a,n/a,Personalities,Personalities,2005,9,32.61,27.44,,,,,,,
Celebrities,377,Wolfgang Puck,n/a,n/a,n/a,Personalities,Personalities,2005,12,32.61,27.44,,,,,,,
Celebrities,379,Arthur Agatston,n/a,n/a,n/a,Personalities,Personalities,2005,16,32.61,27.44,,,,,,,
Celebrities,382,Kimora Lee Simmons,n/a,n/a,n/a,Personalities,Personalities,2005,17,32.61,27.44,,,,,,,
Celebrities,385,Ken Jennings,n/a,n/a,n/a,Personalities,Personalities,2005,3.2,32.61,27.44,,,,,,,
Celebrities,386,Tyra Banks,n/a,n/a,n/a,Personalities,Personalities,2005,6,32.61,27.44,,,,,,,
Celebrities,391,Charlie Palmer,n/a,n/a,n/a,Personalities,Personalities,2005,4.7,32.61,27.44,,,,,,,
Celebrities,387,Frankie Muniz,n/a,n/a,n/a,Television actors,Actors/Actresses,2005,8,32.61,24.84,,,,,,,
Celebrities,316,Cast of Desperate Housewives,n/a,n/a,n/a,Television actresses,Actors/Actresses,2005,5.6,32.61,24.84,,,,,,,
Celebrities,326,The Olsen Twins,n/a,n/a,n/a,Television actresses,Actors/Actresses,2005,21,32.61,24.84,,,,,,,
Celebrities,343,Lindsay Lohan,n/a,n/a,n/a,Television actresses,Actors/Actresses,2005,11,32.61,24.84,,,,,,,
